No,Kode,Wilayah,Kota
11,BP,Kepulauan Riau,"Kabupaten Kepulauan Anambas, Kabupaten Natuna, Kabupaten Lingga, Kabupaten Karimun, Kota Batam, Kabupaten Bintan, Kota Tanjung Pinang"
12,A,Banten,"Kabupaten Tangerang, Kota Cilegon, Kabupaten Lebak, Kabupaten Pandeglang, Kabupaten Serang, Kota Serang"
13,B,Jadetabek,"Kabupaten Administrasi Kep. Seribu, Kota Administrasi Jakarta Utara, Kota Tangerang Selatan, Kota Bekasi, Kota Administrasi Jakarta Timur, Kabupaten Tangerang, Kabupaten Bekasi, Kota Depok, Kota Administrasi Jakarta Selatan, Kota Tangerang, Kota Administrasi Jakarta barat, Kota Administrasi Jakarta Pusat"
14,D,Keresidenan Priangan Tengah,"Kabupaten Bandung, Kabupaten Bandung Barat, Kota Cimahi, Kota Bandung"
15,E,Keresidenan Cirebon,"Kabupaten Kuningan, Kabupaten Majalengka, Kabupaten Indramayu, Kabupaten Cirebon, Kota Cirebon"
16,F ,Keresidenan Bogor dan Priangan Barat,"Kabupaten Cianjur, Kabupaten Sukabumi, Kota Sukabumi, Kabupaten Bogor, Kota Bogor"
17,T,Keresidenan Karawang,"Kabupaten Subang, Kabupaten Karawang, Kabupaten Purwakarta"
18,Z,Priangan Timur,"Kota Banjar, Kabupaten Pangandaran, Kabupaten Ciamis, Kabupaten Tasikmalaya, Kota Tasikmalaya, Kabupaten Garut, Kabupaten Sumedang"
19,G,Keresidenan Pekalongan,"Kabupaten Brebes, Kabupaten Tegal, Kota Tegal, Kabupaten Pemalang,l Kabupaten Batang, Kabupaten Pekalongan, Kota Pekalongan"
20,H,Keresidenan Semarang,"Kabupaten Demak, Kabupaten Kendal, Kabupaten Semarang, Kota Salatiga, Kota Semarang"
21,K,Keresidenan Pati,"Kabupaten Grobogan, Kabupaten Blora, Kabupaten Rembang, Kabupaten Jepara, Kabupaten Kudus, Kabupaten Pati"
22,R,Keresidenan Banyumas,"Kabupaten Banjarnegara, Kabupaten Purbalingga, Kabupaten Cilacap, Kabupaten Banyumas"
23,AA,Keresidenan Kedu,"Kota Magelang, Kabupaten Magelang, Kabupaten Purworejo, Kabupaten Kebumen, Kabupaten Temanggung, Kabupaten Wonosobo"
24,AB,DI Yogyakarta,"Kabupaten Sleman, Kabupaten Gudungkidul, Kabupaten Kulon Progo, Kabupaten Bantul, Kota Yogyakarta"
25,AD ,Keresidenan Surakarta,"Kabupaten Wonogiri, Kabupaten Karanganyar, Kabupaten Sragen, Kabupaten Boyolali, Kabupaten Klaten, Kabupaten Sukoharjo, Kota Surakarta"
26,L,Kota Surabaya,Kota Surabaya
27,M,Keresidenan Madura,"Kabupaten Sumenep, Kabupaten Sampang, Kabupaten Bangkalan, Kabupaten Pamekasan"
28,N,Keresidenan Malang,"Kota Pasuruan, Kabupaten Lumajang, Kota Probolinggo, Kabupaten Pasuruan, Kabupaten Probolinggo, Kota Batu, Kabupaten Malang, Kota Malang"
29,P,Keresidenan Besuki,"Kota Pasuruan, Kabupaten Lumajang, Kota Probolinggo, Kabupaten Pasuruan, Kabupaten Probolinggo, Kota Batu, Kabupaten Malang, Kota Malang"
30,S,Keresidenan Bojonegoro,"Kabupaten Jombang, Kota Mojokerto, Kota Mojokerto, Kabupaten Lamongan, Kabupaten Tuban, Kabupaten Bojonegoro"
31,W,Kabupaten Gresik,"Kabupaten Gresik, Kabupaten Sidoarjo"
32,AE,Keresidenan Madiun,"Kabupaten Pacitan, Kabupaten Ponorogo, Kabupaten Magetan, Kabupaten Ngawi, Kabupaten Madiun, Kota Madiun"
33,AG,Keresidenan Kediri,"Kabupaten Trenggalek, Kabupaten Nganjuk, Kabupaten Tulungagung, Kota Blitar, Kabupaten Kediri, Kota Kediri"
34,DH,NTT Pulau Timor,"Kabupaten Malaka, Kabupaten Rote Ndao, Kabupaten Belu, Kabupaten Timor Tengah Utara, Kabupaten Timor Tengah Selatan, Kabupaten Sabu Raijua, Kabupaten Kupang, Kota Kupang"
35,DK,Bali,"Kabupaten Jembrana, Kabupaten Buleleng, Kabupaten Karangasem, Kabupaten Bangli, Kabupaten Klungkung, Kabupaten Gianyar, Kabupaten Tabanan, Kabupaten Badung, Kota Denpasar"
36,DR,NTB Pulau Lombok,"Kabupaten Lombok Tengah, Kabupaten Lombok Timur, Kabupaten Lombok Barat, Kabupaten Lombok Utara, Kota Mataram"
37,EA,NTB Pulau Sumbawa,"Kabupaten Bima, Kabupaten Dompu, Kota Bima, Kabupaten Sumbawa Barat, Kabupaten Sumbawa"
38,EB,NTT Pulau Flores,"Kabupaten Manggarai Timur, Kabupaten Alor, Kabupaten Nagekeo, Kabupaten Manggarai Barat, Kabupaten Lembata, Kabupaten Manggarai, Kabupaten Ngada, Kabupaten Flores Timur, Kabupaten Sikka, Kabupaten Ende"
39,ED,NTT Pulau Sumba,"Kabupaten Sumba Tengah, Kabupaten Sumba Barat Daya, Kabupaten Sumba Barat, Kabupaten Sumba Timur"
40,DA,Kalimantan Selatan,"Kabupaten Tanah Bumbu, Kabupaten Balangan, Kota Banjarbaru, Kabupaten Barito Kuala, Kabupaten Tanah Laut, Kabupaten Tapin, Kabupaten Tabalong, Kabupaten Kota Baru, Kabupaten Hulu Sungai Utara, Kabupaten Hulu Sungai Tengah, Kabupaten Hulu Sungai Selatan, Kabupaten Banjar, Kota Banjarmasin"
41,KB,Kalimantan Barat,"Kabupaten Kayong Utara, Kabupaten Sekadau, Kabupaten Sambas, Kabupaten Kubu Raya, Kabupaten Landak, Kabupaten Bengkayang, Kabupaten Melawi, Kabupaten Ketapang, Kabupaten Kapuas Hulu, Kabupaten Sintang, Kabupaten Sanggau, Kabupaten Singkawang, Kabupaten Mempawah, Kota Pontianak"
42,KH,Kalimantan Tengah,"Kabupaten Sukamara, Kabupaten Lamandau, Kabupaten Seruyan, Kabupaten Katingan, Kabupaten Murung Raya, Kabupaten Barito Timur, Kabupaten Pulang Pisau, Kabupaten Gunung Mas, Kabupaten Kotawaringin Barat, Kabupaten Kotawaringin Timur, Kabupaten Barito Utara, Kabupaten Barito Selatan, Kabupaten Kapuas, Kota Palangkaraya"
43,KT ,Kalimantan Timur,"Kabupaten Penajam Paser Utara, Kabupaten Mahakam Ulu, Kabupaten Kutai Timur, Kabupaten Kutai, Kabupaten Berau, Kabupaten Paser, Kabupaten Bontang, Kabupaten Kutai Kartanegara, Kota Samarinda, Kota Balikpapan"
44,KU,Kalimantan Utara,"Kabupaten Malinau, Kabupaten Nunukan, Kabupaten Tana Tidung, Kota Tarakan, Kabupaten Bulungan"
45,DB,Sulawesi Utara daratan,"Kabupaten Bolaang Mongondow, Kabupaten Bolaang Mongondow Timur, Kita Kotamobagu, Kabupaten Minahasa Tenggara, Kabupaten Bolaang Mongondow Utara, Kota Tomohon, Kabupaten Minahasa Utara, Kabupaten Minahasa Selatan, Kabupaten Bolaang Mongondow, Kota Bitung, Kabupaten Minahasa, Kota Manado"
46,DC,Sulawesi Barat,"Kabupaten Mamuju Tengah, Kabupaten Pasangkayu, Kabupaten Mamasa, Kabupaten Polewali Mandar, Kabupaten Majene, Kabupaten Mamuju"
47,DD,Sulawesi Selatan bagian selatan,"Kabupaten Selayar, Kabupaten Bulukumba, Kabupaten Jeneponto, Kabupaten Bantaeng, Kabupaten Pangkajene, Kepulauan, Kabupaten Maros, Kabupaten Takalar, Kabupaten Gowa, Kota Makassar."
48,DL,Sulawesi Utara kepulauan,"Kabupaten Kepulauan Sitaro, Kabupaten Kepulauan Talaud, Kabupaten Kepulauan Sangihe"
49,DM,Gorontalo,"Kabupaten Gorontalo Utara, Kabupaten Bone Bolango, Kabupaten Pohuwato, Kabupaten Boalemo, Kabupaten Gorontalo, Kota Gorontalo"
50,DN,Sulawesi Tengah,"Kabupaten Morowali Utara, Kabupaten Banggai Laut, Kabupaten Sigi, Kabupaten Tojo Una-Una, Kabupaten Parigi Moutong, Kabupaten Banggai Kepulauan, Kabupaten Morowali, Kabupaten Buol, Kabupaten Poso, Kabupaten Toli-Toli, Kabupaten Banggai, Kabupaten Donggala, Kota Palu"
51,DP,Sulawesi Selatan bagian utara,"Kabupaten Toraja Utara, Kabupaten Tana Toraja, Kabupaten Enrekang, Kabupaten Luwu Utara, Kabupaten Luwu Timur, Kabupaten Luwu, Kota Palopo, Kabupaten Pinrang, Kabupaten Sidenreng Rappang, Kabupaten Barru, Kabupaten Parepare"
52,DT,Sulawesi Tenggara,"Kabupaten Buton Tengah, Kabupaten Buton Selatan, Kabupaten Kolaka Timur, Kabupaten Muna Barat, Kabupaten Konawe Kepulauan, Kabupaten Buton Utara, Kabupaten Konawe Utara, Kabupaten Wakatobi, Kabupaten Bombana, Kabupaten Kolaka Utara, Kabupaten Konawe Selatan, Kota Baubau, Kota Kendari,, Kabupaten Muna, Kabupaten Buton, Kabupaten Kolaka, Kabupaten Konawe"
53,DW,Sulawesi Selatan bagian tengah,"Kabupaten Sinjai, Kabupaten Soppeng, Kabupaten Wajo, Kabupaten Bone"
54,DE,Maluku,"Kabupaten Buru Selatan, Kabupaten Maluku Barat Daya, Kota Tual, Kabupaten Seram Bagian Timur, Kabupaten Seram Bagian Barat, Kabupaten Kepulauan Aru, Kabupaten Kepulauan Tanimbar, Kabupaten Buru, Kabupaten Maluku Tenggara, Kabupaten Maluku Tengah, Kota Ambon"
55,DG,Maluku Utara,"Kabupaten Halmahera Timur, Kabupaten Halmahera Tengah, Kabupaten Kepulauan Sula, Kabupaten Halmahera Selatan, Kabupaten Halmahera Utara, Kabupaten Halmahera Barat, Kabupaten Pulau Morotai, Kabupaten Pulau Taliabu, Kota Tidore Kepulauan, Kota Tarnate"
56,PA,Papua,"Kabupaten Tolikara, Kabupaten Boven Digoel, Kabupaten Mappi, Kabupaten Sarmi, Kabupaten Keerom, Kabupaten Puncak Jaya, Kabupaten Waropen, Kabupaten Kepulauan Yapen, Kabupaten Nabire, Kabupaten Jayapura, Kabupaten Merauke, Kabupaten Paniai, Kabupaten Mimika, Kabupaten Biak Numfor, Kabupaten Jayawijaya, Kota Jayapura"
57,PB,Papua Barat,"Kabupaten Teluk Wondama, Kabupaten Maybrat, Kabupaten Sorong Selatan, Kota Sorong, Kabupaten Raja Ampat, Kabupaten Tambrauw, Kabupaten Manokwari Selatan, Kabupaten Kaimana, Kabupaten Manokwari, Kabupaten Fakfak, Kabupaten Pegunungan Arfak, Kabupaten Teluk Bintuni, Kabupaten Sorong"
